date,mean_fcast_sce,med_fcast_sce
2013m1,,
2013m2,,
2013m3,,
2013m4,,
2013m5,,
2013m6,5.376810576856137,3
2013m7,5.882624277064592,4
2013m8,5.906329945405892,4
2013m9,5.13243863496269,4
2013m10,4.12829624540819,4
2013m11,2.614491443370635,3
2013m12,5.359683610308023,3.5
2014m1,6.635568187143014,3
2014m2,6.758807013958979,4.8499999
2014m3,6.786018592737351,4
2014m4,4.866394634365035,4
2014m5,6.261958512687023,5
2014m6,4.934567053373247,4.75
2014m7,6.878124340111637,5
2014m8,5.610281354606475,4
2014m9,4.920918614559312,3
2014m10,4.320251130194677,3
2014m11,5.71062934852853,3.2
2014m12,3.111974727065119,4
2015m1,4.813715599004654,3
2015m2,5.105113126064569,3
2015m3,4.257721341964228,4
2015m4,4.443517979524655,3
2015m5,4.959301319285555,3.5
2015m6,5.367797420630312,3
2015m7,4.845898415837712,4
2015m8,5.075342422868136,3.25
2015m9,5.845018653938375,3
2015m10,3.980684799700716,3
2015m11,3.26023005399469,3
2015m12,5.858504014867995,4
2016m1,4.954915529043399,4
2016m2,4.226559666939623,3
2016m3,5.804317746379193,3
2016m4,4.829119577075633,3
2016m5,5.002591938962306,3
2016m6,4.935011371540814,4
2016m7,5.24830135024205,3
2016m8,5.044297368382749,3
2016m9,4.232073484802677,3
2016m10,5.676209187437421,3
2016m11,2.862788804281194,3
2016m12,2.44963189016242,3.5
2017m1,3.536322435918695,3
2017m2,3.68920896534826,3
2017m3,4.400725281940059,3
2017m4,4.649679056881305,3
2017m5,4.002349062937736,4
2017m6,3.350081713908877,3
2017m7,4.226905324832543,3.5
2017m8,3.528479751062875,3
2017m9,5.018370230403699,3
2017m10,3.61591525245058,3
2017m11,3.668954377696434,3
2017m12,4.388610319910422,3
2018m1,3.706774073182881,3
2018m2,4.315244195300649,3
2018m3,4.802305140568923,3
2018m4,5.638892696411283,3.9000001
2018m5,5.04065555033909,4
2018m6,4.515770821772886,3
2018m7,4.795102010310188,3
2018m8,5.720801533076581,3
2018m9,4.978911925359927,3
2018m10,3.933017153933253,3
2018m11,5.055874073269821,3
2018m12,3.53444140656603,3
2019m1,4.684245773068596,3
2019m2,3.668868585483839,3
2019m3,5.401409856768542,3.55
2019m4,4.747491820322815,3
2019m5,3.858157821085735,3
2019m6,3.64264634667926,3
2019m7,4.341709613213035,3
2019m8,4.142236943932847,3
2019m9,4.031368912379827,3
2019m10,4.758942546492189,3
2019m11,3.595962734697238,3
2019m12,4.564954214455267,3
2020m1,3.652877508168341,3
2020m2,3.804988142342612,3
2020m3,2.374887236982717,3
2020m4,4.82225225321406,3.5
2020m5,5.328145204425437,3
2020m6,4.61615508841659,4
2020m7,5.657900664538154,3
2020m8,3.792279632287418,3.5
2020m9,3.042591178816039,3
2020m10,3.279872853442625,3
2020m11,3.666416735327691,3
2020m12,5.430413459904264,4
2021m1,5.484589436415487,3
2021m2,4.823350378772903,4
2021m3,6.799434526985466,4
2021m4,5.521470128417604,4.25
2021m5,6.419862525954832,5
2021m6,7.107175931177805,5
2021m7,6.509631641412581,5
2021m8,5.831500728958114,5
2021m9,7.003945672164913,5
2021m10,6.611515487869049,5
2021m11,7.046389424896458,6
2021m12,6.863384480695038,5
2022m1,7.119084897554701,6.75
2022m2,8.074494498388528,7
2022m3,8.212624576067265,6
2022m4,7.156945364919893,8
2022m5,7.926670534727682,8
2022m6,7.513935600654124,7
2022m7,6.016090071433801,8
2022m8,7.840270816240158,7
2022m9,5.286381931523112,6
2022m10,8.170694026064632,7
2022m11,8.529836985530119,8.5
2022m12,6.623286547654285,6
2023m1,6.180164653771269,6
2023m2,6.051594046717924,5
2023m3,5.406800538836698,5.25
2023m4,6.720390251126077,5
2023m5,5.738008195636769,4
2023m6,5.284946171795965,5
2023m7,5.702683636354221,5
2023m8,4.813757182896155,5
2023m9,4.540753987858279,4.5
2023m10,5.766245974518156,5
2023m11,4.666898430379039,4
2023m12,4.231396953784028,4
2024m1,5.654495642805124,4
2024m2,6.757600848230598,5
2024m3,3.649251997862788,4
2024m4,4.577681654603338,4
2024m5,5.029123769822493,4
2024m6,,
2024m7,,
2024m8,,
2024m9,,
2024m10,,
2024m11,,
2024m12,,
2025m1,,
2025m2,,
