date,mean_fcast_lt_sce,med_fcast_lt_sce
2013m1,,
2013m2,,
2013m3,,
2013m4,,
2013m5,,
2013m6,5.993270892023251,4
2013m7,7.114096456886744,4
2013m8,6.01087556686298,4
2013m9,5.141091605822985,4
2013m10,6.386023896590509,5
2013m11,2.400035368811772,3
2013m12,5.052959438956122,4
2014m1,4.615086159413375,4
2014m2,6.105771774736614,4
2014m3,5.323844789891188,4.5
2014m4,4.506020881832304,4
2014m5,5.777162513097202,5
2014m6,5.448157473131462,5
2014m7,5.822008372935673,5
2014m8,5.273542456394691,5
2014m9,5.908596569470093,4
2014m10,4.743020959059733,4
2014m11,4.10016205607364,4
2014m12,4.768639140515462,4
2015m1,6.018751822770843,4
2015m2,5.027850811845239,4
2015m3,4.98889167999516,4
2015m4,3.95552196634891,4
2015m5,4.857264898747542,4
2015m6,4.773045002391668,4
2015m7,4.262248235173512,4
2015m8,4.207329253909581,5
2015m9,5.599330652584207,4
2015m10,4.546831789693223,3.5
2015m11,4.460933690787174,4
2015m12,5.516778387758944,5
2016m1,5.170946687572847,5
2016m2,5.727830103818756,4
2016m3,5.591646165032787,3
2016m4,4.403929467299573,3
2016m5,5.426883360833436,3
2016m6,6.339878713585457,5
2016m7,5.457788050685316,4
2016m8,5.940957634697359,4
2016m9,5.116621531411822,4
2016m10,5.1308110912685,4
2016m11,3.099867710185821,3
2016m12,3.739039470745352,4
2017m1,3.973428437736248,4
2017m2,3.768259869045376,4
2017m3,4.914202078681541,4
2017m4,3.747168578059929,4
2017m5,4.749155692078977,4
2017m6,4.248643416361691,4
2017m7,5.695109560879043,5
2017m8,4.98160225100605,3.4000001
2017m9,5.217764786160925,4
2017m10,4.704164026755053,3
2017m11,3.779867027443135,4
2017m12,4.678097398777551,4
2018m1,5.375369584035873,4
2018m2,3.8477612607956,4
2018m3,4.9906972590229,4
2018m4,5.761433935695768,4
2018m5,5.735133750394274,4
2018m6,4.969172299575917,4
2018m7,4.647928192506241,3.5
2018m8,4.995070114422332,4
2018m9,5.070584309045815,4
2018m10,3.928192237699642,3
2018m11,5.059575428637833,3
2018m12,4.370065780718155,4
2019m1,4.387516081582018,3.75
2019m2,3.513556895556986,3.5
2019m3,3.822972859475729,4
2019m4,5.027111991591627,3.5
2019m5,4.356818880630649,3
2019m6,5.449750537269361,4
2019m7,4.081594039431768,4
2019m8,5.023061734487139,4
2019m9,4.52048316021409,3
2019m10,3.332829827470964,3
2019m11,4.597965498523527,3
2019m12,4.051021700735065,3
2020m1,4.195051423964972,3
2020m2,4.405725562487087,4
2020m3,5.229724024743019,3
2020m4,3.991494774675163,3.25
2020m5,4.072742432817733,3
2020m6,2.998007853072574,3.5
2020m7,4.386684449068079,3
2020m8,5.332437748162421,4
2020m9,4.545803629374187,4
2020m10,2.85403870506434,3
2020m11,4.391950302092031,4
2020m12,5.676173514336029,5
2021m1,6.90331266746534,4
2021m2,4.805874229280271,4.5
2021m3,5.186662253960933,4
2021m4,6.509921177262149,5
2021m5,5.025411195190644,4
2021m6,4.304189522347088,4
2021m7,5.173964921618843,4
2021m8,4.702640930972276,4
2021m9,5.50041521376352,4
2021m10,4.551811892167126,4
2021m11,4.401676942108183,5
2021m12,4.120189629136791,4
2022m1,4.415306246453029,3.25
2022m2,3.422905943279451,5
2022m3,4.095952313146712,4
2022m4,1.987179465351459,4
2022m5,4.189227363475408,4
2022m6,4.60202651204202,3
2022m7,2.049566227526979,3.5
2022m8,3.026589543761639,4
2022m9,1.495157810550811,2
2022m10,2.769105332431421,4
2022m11,1.758532482680315,5
2022m12,3.416783282466328,4
2023m1,3.552455755689321,4
2023m2,3.794393470312051,3
2023m3,2.377265772178419,4
2023m4,3.83820718629556,3
2023m5,3.30773731051284,3.25
2023m6,3.535242912458399,3
2023m7,1.398241026634988,3
2023m8,3.626673766701443,4
2023m9,4.012585746762792,4
2023m10,,
2023m11,,
2023m12,,
2024m1,,
2024m2,,
2024m3,,
2024m4,,
2024m5,,
2024m6,,
2024m7,,
2024m8,,
